show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,year_added,month_added,month_name,duration_minutes,duration_seasons,primary_country,primary_genre,content_age_at_addition,is_multi_country,is_multi_genre,genre_count,cast_count,era,rating_category
s00001,TV Show,Untitled Series 426,Steven Spielberg,Unknown,United States,2020-03-25,1961,TV-MA,1 Season,Romantic TV Shows,"In a world on the brink of collapse, one person holds the key to salvation.",2020,3,Mar,,1.0,United States,Romantic TV Shows,59.0,0,0,1,0,Pre-1980s,Adults
s00002,Movie,Untitled Film 4561,Jan Suter,"Actor 141, Actor 410, Actor 326, Actor 262, Actor 137",Canada,2018-01-27,1985,TV-MA,110 min,Classic Movies,An unlikely friendship forms between two strangers in extraordinary circumstances.,2018,1,Jan,110.0,,Canada,Classic Movies,33.0,0,0,1,5,1980s,Adults
s00003,Movie,Untitled Film 3076,Director 69,"Actor 278, Actor 348, Actor 174",United States,2008-12-21,2008,PG-13,84 min,"Dramas, Thrillers","Secrets buried for decades resurface, threatening to destroy everything.",2008,12,Dec,84.0,,United States,Dramas,0.0,0,1,2,3,2000s,Teens
s00004,Movie,Untitled Film 1871,Director 144,"Actor 51, Actor 153, Actor 228",India,2011-08-25,1997,PG-13,85 min,Independent Movies,"Secrets buried for decades resurface, threatening to destroy everything.",2011,8,Aug,85.0,,India,Independent Movies,14.0,0,0,1,3,1990s,Teens
s00005,TV Show,Untitled Series 2251,Director 27,"Actor 300, Actor 195, Actor 489, Actor 383, Actor 447, Actor 124, Actor 249","Australia, India",2015-01-28,2001,TV-MA,1 Season,Teen TV Shows,"When the rules no longer apply, how far will you go to protect what you love?",2015,1,Jan,,1.0,Australia,Teen TV Shows,14.0,1,0,1,7,2000s,Adults
s00006,Movie,Untitled Film 6083,Director 166,Unknown,United States,2011-02-07,2015,TV-G,169 min,Horror Movies,Ancient myths intertwine with modern life in this visually stunning epic.,2011,2,Feb,169.0,,United States,Horror Movies,0.0,0,0,1,0,2010s,Kids
s00007,TV Show,Untitled Series 230,Director 2,"Actor 251, Actor 326, Actor 92, Actor 278, Actor 423",India,2020-05-29,1951,TV-14,1 Season,International TV Shows,"Secrets buried for decades resurface, threatening to destroy everything.",2020,5,May,,1.0,India,International TV Shows,69.0,0,0,1,5,Pre-1980s,Teens
s00008,Movie,Untitled Film 6205,Director 168,"Anupam Kher, Actor 309, Actor 478",United States,2019-05-21,1975,PG,105 min,Cult Movies,"Secrets buried for decades resurface, threatening to destroy everything.",2019,5,May,105.0,,United States,Cult Movies,44.0,0,0,1,3,Pre-1980s,Teens
s00009,Movie,Untitled Film 438,Director 5,"Actor 147, Actor 249, Actor 411, Actor 194, Actor 183","Indonesia, Egypt",2009-07-20,2018,G,121 min,"Independent Movies, Cult Movies",A single decision ripples through generations in this powerful generational saga.,2009,7,Jul,121.0,,Indonesia,Independent Movies,0.0,1,1,2,5,2010s,Kids
s00010,Movie,Untitled Film 3662,Unknown,"Actor 38, Actor 212, Actor 47, Actor 10, Actor 316","United States, Argentina",2013-02-28,1978,R,90 min,Thrillers,"Secrets buried for decades resurface, threatening to destroy everything.",2013,2,Feb,90.0,,United States,Thrillers,35.0,1,0,1,5,Pre-1980s,Adults
s00011,TV Show,Untitled Series 1958,Director 179,"Actor 74, Actor 77, Actor 419, Actor 340, Actor 411",Philippines,2018-08-08,1981,TV-MA,1 Season,"TV Dramas, Crime TV Shows",A gripping story of survival and redemption set against breathtaking landscapes.,2018,8,Aug,,1.0,Philippines,TV Dramas,37.0,0,1,2,5,1980s,Adults
s00012,Movie,Untitled Film 5929,Director 19,"Actor 233, Actor 55, Actor 431",United States,2020-01-11,2007,NR,146 min,"Anime Features, Action & Adventure",A gripping story of survival and redemption set against breathtaking landscapes.,2020,1,Jan,146.0,,United States,Anime Features,13.0,0,1,2,3,2000s,Adults
s00013,TV Show,Untitled Series 2184,Director 27,"Actor 38, Actor 146, Actor 366, Naseeruddin Shah, Actor 377, Actor 249, Actor 443",Argentina,2011-09-24,2002,TV-Y7-FV,4 Seasons,Teen TV Shows,A single decision ripples through generations in this powerful generational saga.,2011,9,Sep,,4.0,Argentina,Teen TV Shows,9.0,0,0,1,7,2000s,Kids
s00014,Movie,Untitled Film 1519,Director 122,"Actor 139, Actor 36, Actor 498, Actor 60, Actor 168",United States,2009-05-14,1990,R,135 min,Comedies,"Love, loss, and laughter collide in this heartwarming family drama.",2009,5,May,135.0,,United States,Comedies,19.0,0,0,1,5,1990s,Adults
s00015,Movie,Untitled Film 946,Director 39,"Actor 299, Actor 222, Actor 249","United States, Sweden",2021-02-02,2016,TV-MA,123 min,Stand-Up Comedy,A single decision ripples through generations in this powerful generational saga.,2021,2,Feb,123.0,,United States,Stand-Up Comedy,5.0,1,0,1,3,2010s,Adults
s00016,Movie,Untitled Film 6123,Director 102,"Actor 335, Actor 48, Actor 228",South Korea,2010-03-30,1959,R,78 min,Horror Movies,A single decision ripples through generations in this powerful generational saga.,2010,3,Mar,78.0,,South Korea,Horror Movies,51.0,0,0,1,3,Pre-1980s,Adults
s00017,Movie,Untitled Film 5727,Director 142,"Actor 115, Actor 248, Actor 96",Italy,2008-03-05,2020,TV-MA,137 min,"Anime Features, Documentaries, Children & Family Movies","Secrets buried for decades resurface, threatening to destroy everything.",2008,3,Mar,137.0,,Italy,Anime Features,0.0,0,1,3,3,2020s,Adults
s00018,TV Show,Untitled Series 832,Director 189,"Actor 411, Actor 261, Actor 23",South Korea,2018-12-16,1982,TV-MA,3 Seasons,Reality TV,"Secrets buried for decades resurface, threatening to destroy everything.",2018,12,Dec,,3.0,South Korea,Reality TV,36.0,0,0,1,3,1980s,Adults
s00019,Movie,Untitled Film 6036,Unknown,"Actor 129, Actor 418, Actor 108","India, Japan",2011-05-06,2019,PG,173 min,Cult Movies,A gripping story of survival and redemption set against breathtaking landscapes.,2011,5,May,173.0,,India,Cult Movies,0.0,1,0,1,3,2010s,Teens
s00020,Movie,Untitled Film 1684,Director 33,"Actor 159, Actor 400, Actor 3, Actor 161, Actor 318, Actor 399, Actor 232",United States,2017-02-11,1969,TV-MA,123 min,Action & Adventure,Ancient myths intertwine with modern life in this visually stunning epic.,2017,2,Feb,123.0,,United States,Action & Adventure,48.0,0,0,1,7,Pre-1980s,Adults
s00021,Movie,Untitled Film 3819,Unknown,"Actor 314, Actor 263, Actor 49",Thailand,2013-02-07,1978,R,116 min,"Children & Family Movies, Cult Movies, LGBTQ Movies",Ancient myths intertwine with modern life in this visually stunning epic.,2013,2,Feb,116.0,,Thailand,Children & Family Movies,35.0,0,1,3,3,Pre-1980s,Adults
