show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
s00001,TV Show,Untitled Series 426,Steven Spielberg,,United States,"March 25, 2020",1961,TV-MA,1 Season,Romantic TV Shows,"In a world on the brink of collapse, one person holds the key to salvation."
s00002,Movie,Untitled Film 4561,Jan Suter,"Actor 141, Actor 410, Actor 326, Actor 262, Actor 137",Canada,"January 27, 2018",1985,TV-MA,110 min,Classic Movies,An unlikely friendship forms between two strangers in extraordinary circumstances.
s00003,Movie,Untitled Film 3076,Director 69,"Actor 278, Actor 348, Actor 174",United States,"December 21, 2008",2008,PG-13,84 min,"Dramas, Thrillers","Secrets buried for decades resurface, threatening to destroy everything."
s00004,Movie,Untitled Film 1871,Director 144,"Actor 51, Actor 153, Actor 228",India,"August 25, 2011",1997,PG-13,85 min,Independent Movies,"Secrets buried for decades resurface, threatening to destroy everything."
s00005,TV Show,Untitled Series 2251,Director 27,"Actor 300, Actor 195, Actor 489, Actor 383, Actor 447, Actor 124, Actor 249","Australia, India","January 28, 2015",2001,TV-MA,1 Season,Teen TV Shows,"When the rules no longer apply, how far will you go to protect what you love?"
s00006,Movie,Untitled Film 6083,Director 166,,United States,"February 07, 2011",2015,TV-G,169 min,Horror Movies,Ancient myths intertwine with modern life in this visually stunning epic.
s00007,TV Show,Untitled Series 230,Director 2,"Actor 251, Actor 326, Actor 92, Actor 278, Actor 423",India,"May 29, 2020",1951,TV-14,1 Season,International TV Shows,"Secrets buried for decades resurface, threatening to destroy everything."
s00008,Movie,Untitled Film 6205,Director 168,"Anupam Kher, Actor 309, Actor 478",United States,"May 21, 2019",1975,PG,105 min,Cult Movies,"Secrets buried for decades resurface, threatening to destroy everything."
s00009,Movie,Untitled Film 438,Director 5,"Actor 147, Actor 249, Actor 411, Actor 194, Actor 183","Indonesia, Egypt","July 20, 2009",2018,G,121 min,"Independent Movies, Cult Movies",A single decision ripples through generations in this powerful generational saga.
s00010,Movie,Untitled Film 3662,,"Actor 38, Actor 212, Actor 47, Actor 10, Actor 316","United States, Argentina","February 28, 2013",1978,R,90 min,Thrillers,"Secrets buried for decades resurface, threatening to destroy everything."
s00011,TV Show,Untitled Series 1958,Director 179,"Actor 74, Actor 77, Actor 419, Actor 340, Actor 411",Philippines,"August 08, 2018",1981,TV-MA,1 Season,"TV Dramas, Crime TV Shows",A gripping story of survival and redemption set against breathtaking landscapes.
s00012,Movie,Untitled Film 5929,Director 19,"Actor 233, Actor 55, Actor 431",United States,"January 11, 2020",2007,NR,146 min,"Anime Features, Action & Adventure",A gripping story of survival and redemption set against breathtaking landscapes.
